intera,.value,.lower,.upper,.width,.point,.interval,grp
Lepidoptera.C - Hymenoptera.A,-0.175525649,-0.490594984,0.163559909,0.95,mode,hdi,
Lepidoptera.C - Hymenoptera.B,-0.947484938,-1.32898719,-0.525860547,0.95,mode,hdi,
Lepidoptera.C - Hymenoptera.C,-0.007696066,-0.314795293,0.339143078,0.95,mode,hdi,1
Lepidoptera.C - Hymenoptera.D,0.375275718,-0.376721592,1.166277894,0.95,mode,hdi,
Lepidoptera.C - Hymenoptera.E,0.076364948,-0.48715882,0.764315304,0.95,mode,hdi,
Lepidoptera.D - Bee.A,-1.053780552,-1.689993795,-0.56291572,0.95,mode,hdi,
Lepidoptera.D - Bee.B,-0.930372712,-1.53925389,-0.289947299,0.95,mode,hdi,
Lepidoptera.D - Bee.C,-1.186540593,-1.859362073,-0.73693303,0.95,mode,hdi,
Lepidoptera.D - Bee.D,-1.301321901,-2.040602519,-0.744543288,0.95,mode,hdi,1
Lepidoptera.D - Bee.E,-0.285499569,-1.069050742,0.366250155,0.95,mode,hdi,
Lepidoptera.D - Coleoptera.A,0.149888789,-0.512471852,0.631257582,0.95,mode,hdi,
Lepidoptera.D - Coleoptera.B,-0.155829757,-0.805680524,0.504342191,0.95,mode,hdi,
Lepidoptera.D - Coleoptera.C,-0.318104358,-0.958026899,0.229239836,0.95,mode,hdi,
Lepidoptera.D - Coleoptera.D,0.19238444,-0.738214015,1.302406653,0.95,mode,hdi,1
Lepidoptera.D - Coleoptera.E,0.831467304,-0.222765082,1.924093323,0.95,mode,hdi,
Lepidoptera.D - Diptera.A,-0.880761093,-1.57005123,-0.416322835,0.95,mode,hdi,
Lepidoptera.D - Diptera.B,-1.082205044,-1.683260073,-0.437422088,0.95,mode,hdi,
Lepidoptera.D - Diptera.C,-0.427575447,-1.081762998,0.08784346,0.95,mode,hdi,
Lepidoptera.D - Diptera.D,-0.695755482,-1.427017133,-0.012512365,0.95,mode,hdi,1
Lepidoptera.D - Diptera.E,-1.573740181,-2.250591819,-0.953447512,0.95,mode,hdi,
Lepidoptera.D - Hymenoptera.A,-0.094859132,-0.63740836,0.537654228,0.95,mode,hdi,
Lepidoptera.D - Hymenoptera.B,-0.809103349,-1.451686953,-0.154898926,0.95,mode,hdi,
Lepidoptera.D - Hymenoptera.C,0.113470404,-0.463714225,0.712166511,0.95,mode,hdi,
Lepidoptera.D - Hymenoptera.D,0.554595627,-0.423608483,1.405083143,0.95,mode,hdi,1
Lepidoptera.D - Hymenoptera.E,0.16069239,-0.560868242,1.015179845,0.95,mode,hdi,
Lepidoptera.E - Bee.A,-0.913113721,-1.410506637,-0.428549658,0.95,mode,hdi,
Lepidoptera.E - Bee.B,-0.760348773,-1.310364148,-0.182600812,0.95,mode,hdi,
Lepidoptera.E - Bee.C,-1.097192386,-1.611192284,-0.629850241,0.95,mode,hdi,
Lepidoptera.E - Bee.D,-1.27549483,-1.796629483,-0.634055666,0.95,mode,hdi,
Lepidoptera.E - Bee.E,-0.096843267,-0.70395975,0.579356589,0.95,mode,hdi,1
Lepidoptera.E - Coleoptera.A,0.321851321,-0.24425086,0.763890462,0.95,mode,hdi,
Lepidoptera.E - Coleoptera.B,0.053554668,-0.622855463,0.627189182,0.95,mode,hdi,
Lepidoptera.E - Coleoptera.C,-0.188191683,-0.71172482,0.311132929,0.95,mode,hdi,
Lepidoptera.E - Coleoptera.D,0.327305648,-0.503896176,1.451635568,0.95,mode,hdi,
Lepidoptera.E - Coleoptera.E,0.996732851,0.086103719,2.172966173,0.95,mode,hdi,1
Lepidoptera.E - Diptera.A,-0.802569977,-1.250406419,-0.272252007,0.95,mode,hdi,
Lepidoptera.E - Diptera.B,-0.871569233,-1.430386007,-0.305069969,0.95,mode,hdi,
Lepidoptera.E - Diptera.C,-0.303297632,-0.78763578,0.213059969,0.95,mode,hdi,
Lepidoptera.E - Diptera.D,-0.568024779,-1.189131174,0.092382443,0.95,mode,hdi,
Lepidoptera.E - Diptera.E,-1.316847989,-1.97005836,-0.803968117,0.95,mode,hdi,1
Lepidoptera.E - Hymenoptera.A,0.192599818,-0.35444583,0.656865418,0.95,mode,hdi,
Lepidoptera.E - Hymenoptera.B,-0.626173497,-1.180774191,-0.036099692,0.95,mode,hdi,
Lepidoptera.E - Hymenoptera.C,0.373547488,-0.200340346,0.852739211,0.95,mode,hdi,
Lepidoptera.E - Hymenoptera.D,0.701115425,-0.123889127,1.608457259,0.95,mode,hdi,
Lepidoptera.E - Hymenoptera.E,0.422502997,-0.3148151,1.172028722,0.95,mode,hdi,1
Syrphidae.A - Bee.A,-0.98508894,-1.174765683,-0.723234267,0.95,mode,hdi,1
Syrphidae.A - Bee.B,-0.749394342,-1.108146949,-0.364864639,0.95,mode,hdi,
Syrphidae.A - Bee.C,-1.11034594,-1.382055771,-0.857160194,0.95,mode,hdi,
Syrphidae.A - Bee.D,-1.196187636,-1.622198628,-0.765868314,0.95,mode,hdi,
Syrphidae.A - Bee.E,-0.201023771,-0.637541906,0.349914549,0.95,mode,hdi,
Syrphidae.A - Coleoptera.A,0.22922165,-0.023579602,0.516021477,0.95,mode,hdi,1
Syrphidae.A - Coleoptera.B,-0.039278701,-0.414157121,0.456130372,0.95,mode,hdi,
Syrphidae.A - Coleoptera.C,-0.235446478,-0.515725658,0.083641033,0.95,mode,hdi,
Syrphidae.A - Coleoptera.D,0.316136808,-0.434073734,1.355899686,0.95,mode,hdi,
Syrphidae.A - Coleoptera.E,0.93453829,0.138857041,2.003485867,0.95,mode,hdi,
Syrphidae.A - Diptera.A,-0.788934678,-1.032192092,-0.575545399,0.95,mode,hdi,1
Syrphidae.A - Diptera.B,-0.893762175,-1.262800465,-0.508966051,0.95,mode,hdi,
Syrphidae.A - Diptera.C,-0.322177622,-0.612973747,-0.045741873,0.95,mode,hdi,
Syrphidae.A - Diptera.D,-0.58104064,-1.046030302,-0.070020354,0.95,mode,hdi,
